Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"<<_HMW01_.DOC>>  <<Titan-Schaeffer Optionredline.DOC>>

Kay: Per your request, attached hereto please find the blacklined
Titan-Schaffer Option with t...",Schaffer-Titan Option,_HMW01_.DOC>> Titan-Schaffer Optionredline.DOC>> Kay: per your,Titan-Schaffer Optionredline.DOC
"eleanor best
801 Tremont St.
Boston, MA 02118
eleanor.best@bc.edu

To Mr. Ken Lay,

I'm writing to urge you to donate the millions of dollars you made...",Demand Ken Lay Donate Proceeds from Enron Stock Sales,you sold $101 million worth of Enron stock while aggressively urging employees to keep buying it. eleanor best elean,eleanor Best eleanor best
"When: Monday, October 08, 2001 2:00 PM-3:00 PM (GMT-06:00) Central Time (US & Canada).
Where: Discussion with Traders News Energy

*~*~*~*~*~*~*~*~*~*...",Richard Heidorn - Traders News Energy,Hourly Index started in July 2000 for 16 hours On Peak Hours Ercot Cinergy Northern Ecar Serc Entergy/Spp,Discussion with Traders News
"Charles -- as our new ERCOT person!!, you should probably visit with Thane about these meetings and ERCOT happenings, in general.  Thanks!

 -----Orig...",FYI PUCT/ERCOT Dates,"no voting seat, however, any attending can vote, limited to one vote per company. there is a capacity auction rulemaking at the PU",FYI PUCT/ERCOT dates
"---------------------- Forwarded by Mark Taylor/HOU/ECT on 12/16/99 09:19 AM 
---------------------------


Joel Ephross@ENRON
12/15/99 06:43 PM
To: M...",Project Blackbird Total Return Swap,Mark Taylor/HOU/ECT on 12/16/99 09:19 AM --------------------- Joel Ephross@EN,Project Blackbird Total Return Swap
I just spoke to Denise Dotson. She is going to call me back after she visits with Beth White. Denise is unclear as to why funds are being withheld. I ...,"Virginia Natural Gas Payment for $7,264,089.42 Due 11/26/01",Denise is unclear as to why funds are being withheld. she is going to call me back after she visits with Beth White. she,"Virginia Natural Gas Payment for $7,264,089.42"
"1-800-332-7979 Benefit Service Center 
Health and Group Plans, Option 1 
Cash Balance Plan, Option 2 
Saving and Employee Stock Ownership Plan, Option...",Enron Benefit Phone Numbers,"Benefit Service Center Health and Group Plans, Option 1 Cash Balance Plan, Option 2 Saving and Employee Stock Ownership Plan, Option 3 Employee Stock Options, Option","Benefit Service Center Health and Group Plans, Option 1 Cash Balance Plan, Option 2 Saving and Employee Stock Ownership Plan,"
I would probably utilize either EPSA or WPTF to make the filing.  This is an attack on the competitive generation industry and better to not have Enro...,Partial variance to AAC R14-2-1606(b),"the APS filing is an attack on the competitive generation industry and better to not have Enron point any fingers at a key ""potential""",Partial variance to AAC R14-2-1606
"what is this approval for?




ARSystem@mailman.enron.com on 11/07/2000 04:33:06 PM
To: approval.eol.gas.traders@enron.com
cc:  
Subject: Request Subm...",Request Submitted: Access Request for mike.maggi@enron.com,request ID : 000000000006834 Request Create Date: 11/7/00 4:33:47 PM Requested For: mike,Access Request for mike.maggi@enron.com
"---------------------- Forwarded by Don Miller/HOU/ECT on 08/29/2000 06:16 PM 
---------------------------
From: Stuart Zisman on 08/29/2000 06:05 PM
...",Everest II latest version,Stuart Zisman/HOU/ECT on 08/29/2000 06:05 PM ----- Ed B Hearn III 08/29/,Everest II latest version
"Paulo just called and wanted to know where he is supposed to meet you at 11:30?  He is going to call me back in 10 minutes.

Regards,

Anita DuPont
En...",Lunch with Paulo Issler,Paulo just called and wanted to know where he is supposed to meet you at 11:30. he is going to call me back in 10,Anita DuPont Enron Research Group
"David:
Enclosed for your review is a draft amendment letter for the above 
counterparty.  All of the requested chnages are driven by the fact that BPA...",Bonneville Power Administration,chnages are driven by the fact that BPA is a federal agency.,Draft amendment letter for BPA
"Please note the following CP has change name:

From:		Cosco Qinqdao
To:		Cosco Qinqdao Ocean Shipping Company
CPID:		96808


---------------------- Fo...",Cosco Qinqdao - 96808,Stuart Sheldrick/Enron@EUEnronXGate cc: Enron Europe Global CounterParty/LON,Cosco Qinqdao - 96808
"Wednesday, March 28 is the target execution date for the ECI customer 
agreement and assignment (from ENA) of the Securities Loan Agreement/credit 
bo...",BEAR Guarantee letter,"the target execution date for the ECI customer agreement and assignment (from ENA) of the Securities Loan Agreement/credit book is Wednesday, March 28 ",BEAR Guarantee letter
Is there one for this week? Pls. let me know.  Thx....,weekly competitor update,is there one for this week? let me know.,This week?
"----- Forwarded by Richard B Sanders/HOU/ECT on 10/26/2000 08:42 AM -----

	Garrick Hill
	10/25/2000 05:36 PM
		 
		 To: Richard B Sanders/HOU/ECT@ECT...",Brazos Letter - Draft for Tick,forwarded by Richard B Sanders/HOU/ECT on 10/26/2000 08:42 AM ----- Garrick Hill 10/25/2000,Brazos Letter - Draft for Tick
What is up ?? What do you think about the cotton bowl??? Are you going??...,Welcome to the information age!,what do you think about the cotton bowl? Are you going?? Are you going??,What is up?
"I sometimes talk to Bill Bolch regarding glow issues or discounts.
 -----Original Message-----
From: 	Cantrell, Rebecca W.  
Sent:	Friday, September 2...",External Conversations with El Paso Pipeline,BT Enron El Paso Scope Barry Tycholiz Gerry Strange / Al Clark Commercial activities regarding EL Paso Pipeline ,External Conversations with El Paso Pipeline
"Attached is the referenced list.  I am still waiting on 1 response for the 
list from the 24th....",counterparty approval list for 7/25/00,I am still waiting on 1 response for the list from the 24th.,Referenced List
"Attached is a draft proposal for the Chairman, pls review and share comments! 
Thank you in advance for your anticipated cooperation....",Summer Chairman Voice Mail DRAFT,"a draft proposal for the Chairman, pls review and share comments! Thank you in advance for your anticipated cooperation!","Draft proposal for Chairman, pls review"
"section 13.1 requires a letter of credit.


Carlos Sole'
Senior Counsel
Enron North America Corp.
1400 Smith Street
Houston, Texas 77002-7361

(713) 3...",Midway Project - Generic Interconnect Agreement,"section 13.1 requires a letter of credit. if not, please talk to Kay about who could handle this for me in the interim.",Midway Project - Generic Interconnect Agreement
"Shirley,

Unless my flights change, I can call in from my cell phone--what number shall 
I dial?

Thanks!

--Christie....",Follow-up Meeting on Wharton,"unless my flights change, I can call in from my cell phone. what number shall I dial?","Unless my flights change, I can call in from my cell phone"
"All testing was completed successfully, and we have confirmed with ENW Resolution Center that Exchange servers are up....",All tests successfully executed,"all testing was completed successfully, and we have confirmed with ENW Resolution Center that Exchange servers are up.",All testing was completed successfully
"Critical Migration Information:

1. Your scheduled Outlook Migration Date is THE EVENING OF : Monday, June 11th
2. You need to press the ""Save My Data...",3 - URGENT - TO PREVENT LOSS OF INFORMATION,"you need to press the ""Save My Data"" button (only once) to send us your pre-migration information. you must be connected to",Your scheduled Outlook Migration Date
"Sam,

Maureen's article will be OK. Stinson can take a look at the final version on 
Monday.

Vince




   
	Enron North America Corp.
	
	From:  Willi...","Newsletter, Monday 23 Oct.",Vince Enron North America Corp. sent you a copy of Maureen's article for your review. Bob Lee told me he,"Newsletter, Monday 23 Oct."
"Here's the latest revision inserting the drawing numbers.  Is it ready to go 
to GE?



Scott, payment for change orders is addressed in the contract....",Revised Change Order,payment for change orders is addressed in the contract.,Payment for change orders is addressed in the contract
"Steve Cooper, Jeff McMahon and Ray Bowen will hold a conference call for media today at 11:00am CST.  Employees will be able to listen to the call by ...","Enron Conference Call Today, 11:00am CST","Steve Cooper, Jeff McMahon and Ray Bowen will hold a conference call for media today at 11:00am CST. employees will",Conference Call for Media
"---------------------- Forwarded by Airam Arteaga/HOU/ECT on 11/08/2000 06:02 
PM ---------------------------


Madeleine Cardoso <madeleine.cardoso@t...",WHARTON ZOOEY E-TICKET ITINERARY,airam Arteaga/HOU/ECT on 11/08/2000 06:02:24 PM. madeleine cardoso,WHARTON ZOOEY E-TICKET ITINERARY SALES
"Tyrell,  Attached is the letter amendment revised to reflect payment of 
Payment Two on Jan. 4, 2002 as well.  Let me know if you have any questions....",Revised Cannon Amendment,"letter amendment revised to reflect payment of Payment Two on Jan. 4, 2002. let me know if you have any questions.",Letter amendment to Payment Two
"Margaret Meinschein
4213 Le Bourget Ave
Culver City, CA 90232
maggie@nlstudio.com

To Mr. Ken Lay,

I'm writing to urge you to donate the millions of ...",Demand Ken Lay Donate Proceeds from Enron Stock Sales,you sold $101 million worth of Enron stock before the company declared bankruptcy. you made millions out of the pocketbooks of California consumers and from,Enron Employee Transition Fund and REACH
"FYI

Vince
---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 03/08/2001 
11:25 AM ---------------------------


Alex Huang@ENRON
03/08/2...",Brown Bag Dessert On Option Pricing,Vince J Kaminski/HOU/ECT on 03/08/2001 11:25 AM --------------- Alex Huang@ENRON,FYI
"Folks
 OPIC, EXIM and the Department of State each raised the issue of Trakya 
withTurkish Minister of Economy Dervis yesterday reflecting a unified f...",USG Meetings with Turkish Minister Dervis,"OPIC, EXIM and the Department of State each raised the issue of Trakya. the issue was addressed in greater detail by the","OPIC, EXIM and the Department of State raised the issue of Trakya"
"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 09/29/2000 
05:56 PM ---------------------------


""Webmaster@cera.com"" <webmaster on ...","CERA Web Call Replay Now Available - September 28, 2000","""Webmaster@cera.com"" webmaster on 09/28/2000 01:57:57 PM To: cc:","CERA Web Call Replay Now Available - September 28, 2000"
"Dear all,

Please find herewith a recap of my observations relating to Mitsubishi's 
demurrage claim, which does not take the outcome of the liability...",In re M/V PACIFIC VIRGO,Mitsubishi's demurrage claim is time barred (ECTS clause 43) owners/owners' brokers did not return signed original of charterparty,Mitsubishi demurrage claim
"Stewart:

I spoke with Jeff and he will arrange a conference call next week with the 
tribe's CFO and legal counsel.  I highlighted the ""eligibility"" ...",The Confederated Tribe of Warm Springs,the tribe is located in Oregon. he will arrange a conference call next week with the tribe's CFO.,Enron North America Corp.
"Per Carol's request, please e-mail Carol, Mary and me with an update on the agreements you are working on.

Thanks!

Marie...",Status of Agreements,"please e-mail Carol, Mary and me with an update on the agreements you are working on.","E-mail: Carol, Mary and me"
"Elizabeth,
 
Please read below.   Can you help us put together a summary of the TW Capacity Releases from Nov. 00 to Aug. 01?  We are in the process o...",Transwestern Capacity Release Report - 7/2001,we are in the process of putting our strategy together on our Neg. Rate hearing. we are in the process of putting our strategy together on,Transwestern Capacity Release Report - 7/2001
